"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"Vermont","US","2020-03-10T03:13:17","1","0","0","44.0459","-72.7107","03-11-2020.csv"
"","Ukraine","2020-03-03T15:33:02","1","0","0","48.3794","31.1656","03-11-2020.csv"
"Gibraltar","United Kingdom","2020-03-11T20:53:02","1","0","1","36.1408","-5.3536","03-11-2020.csv"
"From Diamond Princess","Australia","2020-02-29T02:03:10","0","0","0","35.4437","139.6380","03-11-2020.csv"
"Gansu","Mainland China","2020-03-11T02:18:28","0","0","0","36.0611","103.8343","03-11-2020.csv"
"Hebei","Mainland China","2020-03-11T02:18:29","0","0","0","38.0428","114.5149","03-11-2020.csv"
"Alaska","US","2020-03-10T02:33:04","0","0","0","61.3707","-152.4044","03-11-2020.csv"
"Idaho","US","2020-03-10T02:33:04","0","0","0","44.2405","-114.4788","03-11-2020.csv"
"Maine","US","2020-03-10T02:33:04","0","0","0","44.6939","-69.3819","03-11-2020.csv"
"Mississippi","US","2020-03-10T02:33:04","0","0","0","32.7416","-89.6787","03-11-2020.csv"
"North Dakota","US","2020-03-10T02:33:04","0","0","0","47.5289","-99.7840","03-11-2020.csv"
"West Virginia","US","2020-03-10T02:33:04","0","0","0","38.4912","-80.9545","03-11-2020.csv"
"Wyoming","US","2020-03-10T02:33:04","0","0","0","42.7560","-107.3025","03-11-2020.csv"
"","occupied Palestinian territory","2020-03-11T20:53:02","0","0","0","31.9522","35.2332","03-11-2020.csv"
