"old_county","old_province_state","old_counrty_region","County","Province_State","Country_Region","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","old_combined_key","combined_key","UID","In_DBT_Exceptions"
"Other","Michigan","US","Unassigned","Michigan","US","","","","","","","90026","Other, Michigan, US","Unassigned, Michigan, US","0084090026",
"Unknown","Michigan","US","Unassigned","Michigan","US","","","","","","","90026","Unknown, Michigan, US","Unassigned, Michigan, US","0084090026",
"Wayne--Detroit","Michigan","US","Wayne","Michigan","US","42.28098405","-83.281255","","","","","26163","Wayne--Detroit, Michigan, US","Wayne, Michigan, US","0084026163",
"Filmore","Minnesota","US","Fillmore","Minnesota","US","43.67394126","-92.08980382","","","","","27045","Filmore, Minnesota, US","Fillmore, Minnesota, US","0084027045",
"Lac Qui Parle","Minnesota","US","Lac qui Parle","Minnesota","US","44.9973857","-96.17488219","","","","","27073","Lac Qui Parle, Minnesota, US","Lac qui Parle, Minnesota, US","0084027073",
"LeSeur","Minnesota","US","Le Sueur","Minnesota","US","44.37136597","-93.72844721","","","","","27079","LeSeur, Minnesota, US","Le Sueur, Minnesota, US","0084027079",
"unassign","Minnesota","US","Unassigned","Minnesota","US","","","","","","","90027","unassign, Minnesota, US","Unassigned, Minnesota, US","0084090027",
"Joplin","Missouri","US","Jasper","Missouri","US","37.20351921","-94.34050458","","","","","29097","Joplin, Missouri, US","Jasper, Missouri, US","0084029097",
"Kansas City","Missouri","US","Kansas City","Missouri","US","39.0997","-94.5786","","","","","","Kansas City, Missouri, US","Kansas City, Missouri, US","0084070003",
"TBD","Missouri","US","Unassigned","Missouri","US","","","","","","","90029","TBD, Missouri, US","Unassigned, Missouri, US","0084090029",
"Box","Nebraska","US","Box Butte","Nebraska","US","42.22079243","-103.0878834","","","","","31013","Box, Nebraska, US","Box Butte, Nebraska, US","0084031013",
"Berknap","New Hampshire","US","Belknap","New Hampshire","US","43.51637314","-71.41684235","","","","","33001","Berknap, New Hampshire, US","Belknap, New Hampshire, US","0084033001",
"Hillsborough-Manchester","New Hampshire","US","Hillsborough","New Hampshire","US","42.91537785","-71.7200253","","","","","33011","Hillsborough-Manchester, New Hampshire, US","Hillsborough, New Hampshire, US","0084033011",
"Hillsborough-other","New Hampshire","US","Hillsborough","New Hampshire","US","42.91537785","-71.7200253","","","","","33011","Hillsborough-other, New Hampshire, US","Hillsborough, New Hampshire, US","0084033011",
"Hillsborough-Nashua","New Hampshire","US","Hillsborough","New Hampshire","US","42.91537785","-71.7200253","","","","","33011","Hillsborough-Nashua, New Hampshire, US","Hillsborough, New Hampshire, US","0084033011",
"Manchester","New Hampshire","US","Hillsborough","New Hampshire","US","42.91537785","-71.7200253","","","","","33011","Manchester, New Hampshire, US","Hillsborough, New Hampshire, US","0084033011",
"Hillsborough-Other","New Hampshire","US","Hillsborough","New Hampshire","US","42.91537785","-71.7200253","","","","","33011","Hillsborough-Other, New Hampshire, US","Hillsborough, New Hampshire, US","0084033011",
"Nashua","New Hampshire","US","Hillsborough","New Hampshire","US","42.91537785","-71.7200253","","","","","33011","Nashua, New Hampshire, US","Hillsborough, New Hampshire, US","0084033011",
"Dona Ana","New Mexico","US","Dona Ana","New Mexico","US","32.35275771","-106.8329387","","","","","35013","Dona Ana, New Mexico, US","Dona Ana, New Mexico, US","0084035013",
"Alexander","South Carolina","US","Alexander","North Carolina","US","35.9223796","-81.17751948","","","","","37003","Alexander, South Carolina, US","Alexander, North Carolina, US","0084037003",
"Stanley","North Carolina","US","Gaston","North Carolina","US","35.29373559","-81.17477045","","","","","37071","Stanley, North Carolina, US","Gaston, North Carolina, US","0084037071",
"Saipan","Northern Mariana Islands","US","","Northern Mariana Islands","US","15.0979","145.6739","","","","","69","Saipan, Northern Mariana Islands, US","Northern Mariana Islands, US","0000000580",
"Unassigned","Northern Mariana Islands","US","","Northern Mariana Islands","US","15.0979","145.6739","","","","","69","Unassigned, Northern Mariana Islands, US","Northern Mariana Islands, US","0000000580",
"Adam","Ohio","US","Adams","Ohio","US","38.84541072","-83.4718964","","","","","39001","Adam, Ohio, US","Adams, Ohio, US","0084039001",
"Guesnsey","Ohio","US","Guernsey","Ohio","US","40.05026529","-81.49248905","","","","","39059","Guesnsey, Ohio, US","Guernsey, Ohio, US","0084039059",
"Unassigned","Ohio","US","Unassigned","Ohio","US","","","","","","","90039","Unassigned, Ohio, US","Unassigned, Ohio, US","0084090039",
"Out-of-State","Oklahoma","US","Out of OK","Oklahoma","US","","","","","","","80040","Out-of-State, Oklahoma, US","Out of OK, Oklahoma, US","0084080040",
"Mckean","Pennsylvania","US","McKean","Pennsylvania","US","41.80938602","-78.56478358","","","","","42083","Mckean, Pennsylvania, US","McKean, Pennsylvania, US","0084042083",
"","","Puerto Rico","","Puerto Rico","US","","","","","","","72","Puerto Rico","Puerto Rico, US","0000000630",
"Dekalb","Tennessee","US","DeKalb","Tennessee","US","35.97616272","-85.83689361","","","","","47041","Dekalb, Tennessee, US","DeKalb, Tennessee, US","0084047041",
"Out-of-state","Tennessee","US","Out of TN","Tennessee","US","","","","","","","80047","Out-of-state, Tennessee, US","Out of TN, Tennessee, US","0084080047",
"Unknown","Tennessee","US","Unassigned","Tennessee","US","","","","","","","90047","Unknown, Tennessee, US","Unassigned, Tennessee, US","0084090047",
"De Witt","Texas","US","DeWitt","Texas","US","29.08101855","-97.3568117","","","","","48123","De Witt, Texas, US","DeWitt, Texas, US","0084048123",
"El Paso--Fort Bliss","Texas","US","El Paso","Texas","US","31.76980765","-106.2363275","","","","","48141","El Paso--Fort Bliss, Texas, US","El Paso, Texas, US","0084048141",
"Harris--Houston","Texas","US","Harris","Texas","US","29.86","-95.39","","","","","48201","Harris--Houston, Texas, US","Harris, Texas, US","0084048201",
"Harris--Non Houston","Texas","US","Harris","Texas","US","29.86","-95.39","","","","","48201","Harris--Non Houston, Texas, US","Harris, Texas, US","0084048201",
"Non-Utah resident","Utah","US","Out of UT","Utah","US","","","","","","","80049","Non-Utah resident, Utah, US","Out of UT, Utah, US","0084080049",
"Unassigned Bear River","Utah","US","Bear River","Utah","US","","","","","","","90049","Unassigned Bear River, Utah, US","Bear River, Utah, US","0084070015",
"Unassigned Southwest","Utah","US","Southwest","Utah","US","","","","","","","90049","Unassigned Southwest, Utah, US","Southwest, Utah, US","0084100004",
"unassigned","Utah","US","Unassigned","Utah","US","","","","","","","90049","unassigned, Utah, US","Unassigned, Utah, US","0084090049",
"St. John","Virgin Islands","US","","Virgin Islands","US","18.3358","-64.8963","","","","","78","St. John, Virgin Islands, US","Virgin Islands, US","0000000850",
"St. Thomas","US Virgin Islands","US","","Virgin Islands","US","18.3358","-64.8963","","","","","78","St. Thomas, US Virgin Islands, US","Virgin Islands, US","0000000850",
"St. Croix","US Virgin Islands","US","","Virgin Islands","US","18.3358","-64.8963","","","","","78","St. Croix, US Virgin Islands, US","Virgin Islands, US","0000000850",
"St. John","US Virgin Islands","US","","Virgin Islands","US","18.3358","-64.8963","","","","","78","St. John, US Virgin Islands, US","Virgin Islands, US","0000000850",
"","","U.S. Virgin Islands","","Virgin Islands","US","18.3358","-64.8963","","","","","78","U.S. Virgin Islands","Virgin Islands, US","0000000850",
"Buena Vista City","Virginia","US","Buena Vista","Virginia","US","37.73484642","-79.35296097","","","","","51530","Buena Vista City, Virginia, US","Buena Vista, Virginia, US","0084051530",
"Charke","Virginia","US","Clarke","Virginia","US","39.11271747","-77.99199425","","","","","51043","Charke, Virginia, US","Clarke, Virginia, US","0084051043",
"Manassas City","Virginia","US","Manassas","Virginia","US","38.7464321","-77.48509905","","","","","51683","Manassas City, Virginia, US","Manassas, Virginia, US","0084051683",
"Portsmouth City","Virginia","US","Norfolk","Virginia","US","36.89934014","-76.26420872","","","","","51710","Portsmouth City, Virginia, US","Norfolk, Virginia, US","0084051710",
"Staunton City","Virginia","US","Staunton","Virginia","US","38.15965544","-79.05979937","","","","","51790","Staunton City, Virginia, US","Staunton, Virginia, US","0084051790",
