"Province/State","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","Case_Type"
"Shaanxi","China","35.1917","108.8701","0","3","5","15","22","35","46","56","63","87","101","116","128","142","165","173","184","195","208","213","219","225","229","230","232","236","240","240","242","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","246","246","246","247","248","248","Confirmed"
"Yunnan","China","24.974","101.487","1","2","5","11","16","26","44","55","70","83","93","105","117","122","128","133","138","138","141","149","153","154","156","162","168","171","171","172","172","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","174","176","176","176","176","176","176","176","Confirmed"
"Hainan","China","19.1959","109.7453","4","5","8","19","22","33","40","43","46","52","62","64","72","80","99","106","117","124","131","138","144","157","157","159","162","162","163","163","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","Confirmed"
"Guizhou","China","26.8154","106.8748","1","3","3","4","5","7","9","9","12","29","29","38","46","58","64","71","81","89","99","109","127","133","135","140","143","144","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","146","147","146","146","146","146","146","Confirmed"
"Tianjin","China","39.3054","117.323","4","4","8","10","14","23","24","27","31","32","41","48","60","67","69","79","81","88","91","95","106","112","119","120","122","124","125","128","130","131","132","135","135","135","135","135","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","137","137","137","137","Confirmed"
"Shanxi","China","37.5777","112.2922","1","1","1","6","9","13","27","27","35","39","47","66","74","81","81","96","104","115","119","119","124","126","126","127","128","129","130","131","131","132","132","132","132","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","133","Confirmed"
"Gansu","China","37.8099","101.0583","0","2","2","4","7","14","19","24","26","29","40","51","55","57","62","62","67","79","83","83","86","87","90","90","90","90","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","102","119","120","124","124","125","127","127","127","129","133","133","133","133","134","134","134","136","Confirmed"
"Hong Kong","China","22.3","114.2","0","2","2","5","8","8","8","10","10","12","13","15","15","17","21","24","25","26","29","38","49","50","53","56","56","57","60","62","63","68","68","69","74","79","84","91","92","94","95","96","100","100","105","105","107","108","114","115","120","126","129","134","140","145","155","162","181","208","256","273","317","Confirmed"
"Liaoning","China","41.2956","122.6085","2","3","4","17","21","27","34","39","41","48","64","70","74","81","89","94","99","105","107","108","111","116","117","119","119","121","121","121","121","121","121","121","121","121","121","121","121","121","121","122","122","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","126","126","126","Confirmed"
"Jilin","China","43.6661","126.1923","0","1","3","4","4","6","8","9","14","14","17","23","31","42","54","59","65","69","78","80","81","83","84","86","88","89","89","89","90","91","91","91","91","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","Confirmed"
"","Czechia","49.8175","15.473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","5","8","12","18","19","31","31","41","91","94","141","189","253","298","396","464","694","833","995","1120","Confirmed"
"Xinjiang","China","41.1129","85.2401","0","2","2","3","4","5","10","13","14","17","18","21","24","29","32","36","39","42","45","49","55","59","63","65","70","71","75","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","76","Confirmed"
"Inner Mongolia","China","44.0935","113.9448","0","0","1","7","7","11","15","16","19","20","23","27","34","35","42","46","50","52","54","58","58","60","61","65","68","70","72","73","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","Confirmed"
"Ningxia","China","37.2692","106.1655","1","1","2","3","4","7","11","12","17","21","26","28","31","34","34","40","43","45","45","49","53","58","64","67","70","70","70","70","71","71","71","71","71","71","71","71","72","72","73","73","74","74","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","Confirmed"
"","Taiwan*","23.7","121","1","1","3","3","4","5","8","8","9","10","10","10","10","11","11","16","16","17","18","18","18","18","18","18","18","20","22","22","23","24","26","26","28","30","31","32","32","34","39","40","41","42","42","44","45","45","45","45","47","48","49","50","53","59","67","77","100","108","135","153","169","Confirmed"
"","Vietnam","16","108","0","2","2","2","2","2","2","2","2","2","6","6","8","8","8","10","10","13","13","14","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","18","30","30","31","38","39","47","53","56","61","66","75","85","91","94","113","Confirmed"
"","Russia","60","90","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","4","13","13","17","17","20","20","28","45","59","63","90","114","147","199","253","306","367","Confirmed"
"Qinghai","China","35.7452","95.9956","0","0","0","1","1","6","6","6","8","8","9","11","13","15","17","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","Confirmed"
"Macau","China","22.1667","113.55","1","2","2","2","5","6","7","7","7","7","7","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","11","12","15","17","17","18","20","Confirmed"
"","Moldova","47.4116","28.3699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","3","6","12","23","23","30","30","49","66","80","94","Confirmed"
"","Bolivia","-16.2902","-63.5887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","10","10","11","11","12","12","15","19","24","Confirmed"
"Faroe Islands","Denmark","61.8926","-6.9118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","2","2","2","2","3","9","11","18","47","58","72","80","92","115","Confirmed"
"St Martin","France","18.0708","-63.0501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","3","4","4","4","4","Confirmed"
"","Honduras","15.2","-86.2419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","3","6","8","9","12","24","24","26","Confirmed"
"Channel Islands","United Kingdom","49.3723","-2.3644","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","3","6","6","6","11","14","32","32","Confirmed"
"New Brunswick","Canada","46.5653","-66.4619","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","6","8","11","11","11","17","17","Confirmed"
"Tibet","China","31.6927","88.0924","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Confirmed"
"","Congo (Kinshasa)","-4.0383","21.7587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","2","2","3","4","14","18","23","30","Confirmed"
"","Cote d'Ivoire","7.54","-5.5471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","5","6","9","9","14","14","Confirmed"
"Saint Barthelemy","France","17.9","-62.8333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","3","Confirmed"
"","Jamaica","18.1096","-77.2975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","8","10","10","12","13","15","16","16","16","Confirmed"
"","Turkey","38.9637","35.2433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","6","18","47","98","192","359","670","1236","Confirmed"
"Gibraltar","United Kingdom","36.1408","-5.3536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","3","8","10","10","10","15","Confirmed"
"Kitsap, WA","US","47.6477","-122.6413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Solano, CA","US","38.3105","-121.9018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Santa Cruz, CA","US","37.0454","-121.958","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Napa, CA","US","38.5025","-122.2654","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Ventura, CA","US","34.3705","-119.1391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Worcester, MA","US","42.4097","-71.8571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Gwinnett, GA","US","33.9191","-84.0167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"DeKalb, GA","US","33.7956","-84.2279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Floyd, GA","US","37.5455","-82.7779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Fayette, GA","US","33.4502","-84.4803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Gregg, TX","US","32.4893","-94.8521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Monmouth, NJ","US","40.2589","-74.124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Burlington, NJ","US","40.0712","-74.8649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Camden, NJ","US","39.9259","-75.1196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Passaic, NJ","US","40.8568","-74.1285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Union, NJ","US","40.6976","-74.2632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Eagle, CO","US","39.6553","-106.8287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Larimer, CO","US","40.6956","-105.5943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Arapahoe, CO","US","39.6203","-104.3326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Gunnison, CO","US","38.5458","-106.9253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Kane, IL","US","41.9879","-88.4016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Monroe, PA","US","41.0458","-75.2479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Philadelphia, PA","US","39.9526","-75.1652","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Norfolk, VA","US","36.8508","-76.2859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Arlington, VA","US","38.8816","-77.091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Spotsylvania, VA","US","38.2042","-77.6078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Loudoun, VA","US","39.0768","-77.6536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Prince George's, MD","US","38.7849","-76.8721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Pottawattamie, IA","US","41.3912","-95.4778","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Camden, NC","US","34.2465","-80.607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Pima, AZ","US","32.0575","-111.6661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Noble, IN","US","41.4277","-85.355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Adams, IN","US","39.8522","-77.2865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Boone, IN","US","40.0106","-86.4997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Dane, WI","US","43.0186","-89.5498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Pierce, WI","US","44.7509","-92.3814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Cuyahoga, OH","US","41.4339","-81.6758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Weber, UT","US","41.2603","-111.9522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Bennington County, VT","US","43.0279","-73.135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Carver County, MN","US","44.8254","-93.7842","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Charlotte County, FL","US","26.8946","-81.9098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Cherokee County, GA","US","34.2515","-84.4803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Collin County, TX","US","33.1795","-96.493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Jefferson County, KY","US","38.1938","-85.6435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Jefferson Parish, LA","US","29.6499","-90.1121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Shasta County, CA","US","40.7909","-121.8474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Spartanburg County, SC","US","34.8606","-81.9535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Harrison County, KY","US","38.4333","-84.3542","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Johnson County, IA","US","41.6699","-91.5984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Berkshire County, MA","US","42.3118","-73.1822","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Davidson County, TN","US","36.1343","-86.822","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Douglas County, OR","US","43.1261","-123.2492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Fresno County, CA","US","36.9859","-119.2321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Harford County, MD","US","39.5839","-76.3637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Hendricks County, IN","US","39.8065","-86.5401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Hudson County, NJ","US","40.7453","-74.0535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
"Johnson County, KS","US","38.8454","-94.8521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Confirmed"
