"Location Name Key","Event First CSV File Name","Event First Location Name Key","Event First Date","Event First Value","Confirmed First CSV File Name","Confirmed First Location Name Key","Confirmed First Date","Confirmed First Value","Deaths First CSV File Name","Deaths First Location Name Key","Deaths First Date","Deaths First Value","Recovered First CSV File Name","Recovered First Location Name Key","Recovered First Date","Recovered First Value","Active First CSV File Name","Active First Location Name Key","Active First Date","Active First Value"
"Anhui, China","01-22-2020.csv","Anhui, China","01-22-2020","1","01-22-2020.csv","Anhui, China","01-22-2020","1","02-09-2020.csv","Anhui, China","02-09-2020","1","01-29-2020.csv","Anhui, China","01-29-2020","2","01-22-2020.csv","Anhui, China","01-22-2020","1"
"Anne Arundel, MD, USA","03-22-2020.csv","Anne Arundel, MD, USA","03-22-2020","18","03-22-2020.csv","Anne Arundel, MD, USA","03-22-2020","18","03-31-2020.csv","Anne Arundel, MD, USA","03-31-2020","1",,,,,"03-22-2020.csv","Anne Arundel, MD, USA","03-22-2020","18"
"Anoka, MN, USA","03-22-2020.csv","Anoka, MN, USA","03-22-2020","5","03-22-2020.csv","Anoka, MN, USA","03-22-2020","5",,,,,,,,,"03-22-2020.csv","Anoka, MN, USA","03-22-2020","5"
"Anson, NC, USA","03-31-2020.csv","Anson, NC, USA","03-31-2020","1","03-31-2020.csv","Anson, NC, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Anson, NC, USA","03-31-2020","1"
"Antelope, NE, USA","03-31-2020.csv","Antelope, NE, USA","03-31-2020","1","03-31-2020.csv","Antelope, NE, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Antelope, NE, USA","03-31-2020","1"
"Antigua And Barbuda","03-13-2020.csv","Antigua And Barbuda","03-13-2020","1","03-13-2020.csv","Antigua And Barbuda","03-13-2020","1",,,,,,,,,"03-13-2020.csv","Antigua And Barbuda","03-13-2020","1"
"Antrim, MI, USA","03-30-2020.csv","Antrim, MI, USA","03-30-2020","2","03-30-2020.csv","Antrim, MI, USA","03-30-2020","2",,,,,,,,,"03-30-2020.csv","Antrim, MI, USA","03-30-2020","2"
"Apache, AZ, USA","03-22-2020.csv","Apache, AZ, USA","03-22-2020","3","03-22-2020.csv","Apache, AZ, USA","03-22-2020","3",,,,,,,,,"03-22-2020.csv","Apache, AZ, USA","03-22-2020","3"
"Appanoose, IA, USA","03-26-2020.csv","Appanoose, IA, USA","03-26-2020","1","03-26-2020.csv","Appanoose, IA, USA","03-26-2020","1",,,,,,,,,"03-26-2020.csv","Appanoose, IA, USA","03-26-2020","1"
"Appling, GA, USA","03-25-2020.csv","Appling, GA, USA","03-25-2020","1","03-25-2020.csv","Appling, GA, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Appling, GA, USA","03-25-2020","1"
"Appomattox, VA, USA",,,,,,,,,,,,,,,,,,,,
"AR, USA","03-11-2020.csv","AR, USA","03-11-2020","1","03-11-2020.csv","AR, USA","03-11-2020","1",,,,,,,,,"03-11-2020.csv","AR, USA","03-11-2020","1"
"Aransas, TX, USA","03-30-2020.csv","Aransas, TX, USA","03-30-2020","2","03-30-2020.csv","Aransas, TX, USA","03-30-2020","2",,,,,,,,,"03-30-2020.csv","Aransas, TX, USA","03-30-2020","2"
"Arapahoe, CO, USA","03-22-2020.csv","Arapahoe, CO, USA","03-22-2020","45","03-22-2020.csv","Arapahoe, CO, USA","03-22-2020","45","03-28-2020.csv","Arapahoe, CO, USA","03-28-2020","1",,,,,"03-22-2020.csv","Arapahoe, CO, USA","03-22-2020","45"
"Archer, TX, USA",,,,,,,,,,,,,,,,,,,,
"Archuleta, CO, USA","03-31-2020.csv","Archuleta, CO, USA","03-31-2020","1","03-31-2020.csv","Archuleta, CO, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Archuleta, CO, USA","03-31-2020","1"
"Arenac, MI, USA","03-31-2020.csv","Arenac, MI, USA","03-31-2020","1","03-31-2020.csv","Arenac, MI, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Arenac, MI, USA","03-31-2020","1"
"Argentina","03-03-2020.csv","Argentina","03-03-2020","1","03-03-2020.csv","Argentina","03-03-2020","1","03-08-2020.csv","Argentina","03-08-2020","1","03-14-2020.csv","Argentina","03-14-2020","1","03-03-2020.csv","Argentina","03-03-2020","1"
"Arkansas, AR, USA","03-30-2020.csv","Arkansas, AR, USA","03-30-2020","1","03-30-2020.csv","Arkansas, AR, USA","03-30-2020","1",,,,,,,,,"03-30-2020.csv","Arkansas, AR, USA","03-30-2020","1"
"Arlington, VA, USA","03-22-2020.csv","Arlington, VA, USA","03-22-2020","26","03-22-2020.csv","Arlington, VA, USA","03-22-2020","26","03-29-2020.csv","Arlington, VA, USA","03-29-2020","2",,,,,"03-22-2020.csv","Arlington, VA, USA","03-22-2020","26"
"Armenia","03-01-2020.csv","Armenia","03-01-2020","1","03-01-2020.csv","Armenia","03-01-2020","1","03-26-2020.csv","Armenia","03-26-2020","1","03-17-2020.csv","Armenia","03-17-2020","1","03-01-2020.csv","Armenia","03-01-2020","1"
"Armstrong, PA, USA","03-24-2020.csv","Armstrong, PA, USA","03-24-2020","1","03-24-2020.csv","Armstrong, PA, USA","03-24-2020","1",,,,,,,,,"03-24-2020.csv","Armstrong, PA, USA","03-24-2020","1"
"Armstrong, TX, USA",,,,,,,,,,,,,,,,,,,,
"Aroostook, ME, USA","04-03-2020.csv","Aroostook, ME, USA","04-03-2020","1","04-03-2020.csv","Aroostook, ME, USA","04-03-2020","1",,,,,,,,,"04-03-2020.csv","Aroostook, ME, USA","04-03-2020","1"
"Arthur, NE, USA",,,,,,,,,,,,,,,,,,,,
"Aruba","03-13-2020.csv","Aruba","03-13-2020","2","03-13-2020.csv","Aruba","03-13-2020","2",,,,,,,,,"03-13-2020.csv","Aruba","03-13-2020","2"
"Aruba, Netherlands","03-18-2020.csv","Aruba, Netherlands","03-18-2020","2","03-18-2020.csv","Aruba, Netherlands","03-18-2020","2",,,,,"03-22-2020.csv","Aruba, Netherlands","03-22-2020","1","03-18-2020.csv","Aruba, Netherlands","03-18-2020","2"
"AS, USA",,,,,,,,,,,,,,,,,,,,
"Ascension, LA, USA","03-22-2020.csv","Ascension, LA, USA","03-22-2020","12","03-22-2020.csv","Ascension, LA, USA","03-22-2020","12","03-23-2020.csv","Ascension, LA, USA","03-23-2020","1",,,,,"03-22-2020.csv","Ascension, LA, USA","03-22-2020","12"
"Ashe, NC, USA","04-03-2020.csv","Ashe, NC, USA","04-03-2020","1","04-03-2020.csv","Ashe, NC, USA","04-03-2020","1",,,,,,,,,"04-03-2020.csv","Ashe, NC, USA","04-03-2020","1"
"Ashland, NE, USA","02-21-2020.csv","Ashland, NE, USA","02-21-2020","11","02-21-2020.csv","Ashland, NE, USA","02-21-2020","11",,,,,,,,,"02-21-2020.csv","Ashland, NE, USA","02-21-2020","11"
"Ashland, OH, USA","03-22-2020.csv","Ashland, OH, USA","03-22-2020","1","03-22-2020.csv","Ashland, OH, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Ashland, OH, USA","03-22-2020","1"
"Ashland, WI, USA","03-31-2020.csv","Ashland, WI, USA","03-31-2020","1","03-31-2020.csv","Ashland, WI, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Ashland, WI, USA","03-31-2020","1"
"Ashley, AR, USA","03-29-2020.csv","Ashley, AR, USA","03-29-2020","1","03-29-2020.csv","Ashley, AR, USA","03-29-2020","1",,,,,,,,,"03-29-2020.csv","Ashley, AR, USA","03-29-2020","1"
